ms_zoning,neighborhood,condition_2,overall_qual,roof_matl,mas_vnr_area,exter_qual,bsmt_qual,heating_qc,central_air,electrical,kitchen_qual,totrms_abvgrd,functional,garage_type,garage_finish,garage_area,paved_drive,sale_type,saleprice,age,total_hse_area,total_bathrms
RL,Sawyer,Norm,6,CompShg,289.0,4,3,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,475.0,Y,WD ,130500,34,2204.0,2.5
RL,SawyerW,Norm,7,CompShg,132.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,RFn,559.0,Y,WD ,220000,13,3035.0,3.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,Gd,5,Typ,Detchd,Unf,246.0,Y,WD ,109000,57,2114.0,2.0
RL,Timber,Norm,5,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,7,Typ,BuiltIn,Fin,400.0,Y,WD ,174000,4,1828.0,2.5
RL,SawyerW,Norm,6,CompShg,0.0,3,2,TA,Y,SBrkr,TA,6,Typ,Detchd,Unf,484.0,N,WD ,138500,110,2121.0,2.0
RL,NAmes,Norm,6,CompShg,0.0,4,3,Ex,Y,SBrkr,Gd,6,Mod,Attchd,Fin,578.0,Y,WD ,190000,44,3405.0,2.5
RM,Edwards,Norm,6,CompShg,82.0,3,4,Gd,Y,SBrkr,TA,5,Typ,Basment,Fin,525.0,Y,New,140000,1,1619.0,3.0
RL,NAmes,Norm,5,CompShg,180.0,3,3,Fa,Y,SBrkr,TA,6,Typ,Attchd,RFn,531.0,Y,COD,142000,51,2376.0,2.0
RL,OldTown,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Detchd,Unf,420.0,Y,WD ,112500,55,1848.0,1.0
RL,NAmes,Norm,5,CompShg,192.0,3,4,TA,Y,SBrkr,Fa,9,Typ,Attchd,Unf,504.0,Y,WD ,135000,38,3120.0,2.5
RM,BrDale,Norm,6,CompShg,232.0,3,3,TA,Y,SBrkr,TA,4,Typ,Detchd,Unf,264.0,Y,COD,85400,37,1470.0,1.5
RL,CollgCr,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,632.0,Y,WD ,183600,1,2416.0,2.0
RL,SawyerW,Norm,5,CompShg,0.0,4,3,Ex,Y,SBrkr,TA,7,Mod,Attchd,Unf,576.0,P,WD ,131000,129,2016.0,1.0
FV,Somerst,Norm,8,CompShg,456.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Detchd,Unf,480.0,Y,ConLD,200000,9,2567.0,3.5
RL,CollgCr,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,610.0,Y,WD ,193000,1,2712.0,2.0
RL,Mitchel,Norm,5,CompShg,0.0,3,5,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,624.0,Y,WD ,173500,6,2860.0,2.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,Fa,N,SBrkr,TA,7,Typ,Detchd,Unf,513.0,Y,COD,98000,92,1968.0,1.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,480.0,Y,WD ,139000,46,2242.0,2.0
RL,Sawyer,Norm,6,CompShg,148.0,3,3,Ex,Y,SBrkr,TA,7,Typ,Attchd,RFn,528.0,Y,WD ,143500,30,1945.0,1.5
FV,Somerst,Norm,7,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Unf,614.0,Y,Con,215200,1,2303.0,2.5
RL,Sawyer,Norm,5,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,5,Typ,Attchd,Fin,450.0,Y,WD ,129000,39,1788.0,1.0
RL,StoneBr,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Ex,5,Typ,Attchd,Fin,499.0,Y,WD ,278000,9,3160.0,3.0
RL,NridgHt,Norm,8,CompShg,0.0,4,5,Ex,Y,SBrkr,Ex,8,Typ,Attchd,Fin,575.0,Y,New,344133,1,3462.0,2.5
RL,Gilbert,Norm,6,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,6,Typ,Attchd,Fin,420.0,Y,WD ,185000,18,2355.0,3.0
RL,Gilbert,Norm,5,CompShg,0.0,3,3,TA,N,SBrkr,TA,5,Typ,Attchd,Fin,572.0,Y,WD ,145000,51,2112.0,2.0
RL,NAmes,Norm,6,CompShg,3.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,530.0,Y,WD ,187500,48,2906.0,3.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,5,Typ,Detchd,Unf,336.0,Y,WD ,138500,45,1788.0,2.0
RL,Crawfor,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,Gd,7,Min2,Detchd,Unf,240.0,Y,WD ,198000,71,2880.0,2.0
C (all),IDOTRR,Norm,5,CompShg,0.0,3,3,Fa,N,SBrkr,TA,9,Typ,None,None,0.0,N,WD ,119600,112,2948.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,576.0,Y,WD ,122900,58,1596.0,1.0
RL,NWAmes,Norm,8,WdShngl,0.0,4,4,TA,Y,SBrkr,Gd,9,Typ,Attchd,Fin,542.0,Y,WD ,278000,28,5048.0,3.5
RL,Crawfor,Norm,8,CompShg,0.0,3,4,Fa,Y,SBrkr,Gd,7,Typ,Detchd,Unf,400.0,Y,WD ,230000,77,2309.0,1.0
RL,Veenker,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Ex,6,Typ,Attchd,Fin,481.0,Y,WD ,270000,11,2988.0,2.5
RL,NAmes,Norm,6,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,410.0,N,WD ,125000,55,1896.0,1.0
RL,CollgCr,Norm,8,CompShg,336.0,4,5,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,826.0,Y,WD ,297000,2,3423.0,3.0
RL,NAmes,Norm,6,Tar&Grv,82.0,3,4,Fa,Y,SBrkr,TA,5,Typ,Basment,RFn,384.0,Y,WD ,113500,51,1302.0,1.0
RM,MeadowV,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,336.0,Y,WD ,127000,29,2232.0,2.0
RL,NWAmes,Norm,6,CompShg,480.0,3,4,Ex,Y,SBrkr,TA,7,Typ,Attchd,RFn,546.0,Y,COD,190000,33,3688.0,2.0
RL,NWAmes,Norm,7,CompShg,320.0,3,3,Fa,Y,SBrkr,TA,6,Typ,Attchd,Unf,528.0,Y,WD ,175500,34,2484.0,1.5
RL,CollgCr,Norm,5,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,5,Typ,Detchd,Unf,384.0,Y,WD ,146000,13,1980.0,2.0
RL,Edwards,Norm,5,CompShg,0.0,4,3,Gd,Y,SBrkr,TA,6,Typ,Attchd,Fin,276.0,Y,WD ,147500,43,2512.0,2.5
RL,NridgHt,Norm,10,CompShg,0.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,850.0,Y,New,465000,0,4152.0,3.5
RL,Mitchel,Norm,5,CompShg,104.0,3,4,Ex,Y,SBrkr,Gd,4,Typ,Attchd,Fin,602.0,Y,WD ,165500,31,2207.0,2.0
RM,OldTown,Norm,5,CompShg,335.0,3,3,Ex,N,FuseF,TA,7,Typ,Attchd,Unf,352.0,Y,WD ,131500,54,2845.0,2.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,5,Typ,Detchd,Unf,384.0,Y,WD ,129500,43,2080.0,2.0
RL,Crawfor,Norm,8,CompShg,40.0,3,3,TA,Y,SBrkr,TA,9,Typ,Detchd,Fin,786.0,Y,WD ,257076,73,2481.0,1.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Min2,Detchd,Unf,660.0,Y,WD ,117000,68,2588.0,2.0
RL,Crawfor,Norm,7,CompShg,0.0,3,4,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,270.0,P,WD ,149000,77,2278.0,1.5
RL,NAmes,Norm,5,CompShg,110.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,280.0,Y,WD ,128000,56,2119.0,2.0
RL,NridgHt,Norm,7,CompShg,106.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,BuiltIn,RFn,474.0,Y,WD ,155000,5,2390.0,2.5
FV,Somerst,Norm,6,CompShg,513.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Detchd,Unf,440.0,Y,WD ,166000,6,2280.0,2.5
RL,SWISU,Norm,4,CompShg,0.0,3,3,TA,Y,SBrkr,Gd,7,Min2,Detchd,Unf,576.0,Y,WD ,135000,81,3103.0,3.0
RL,NWAmes,Norm,7,CompShg,184.0,3,4,TA,Y,SBrkr,Gd,12,Typ,Attchd,RFn,564.0,Y,WD ,250000,28,4176.0,4.5
RM,MeadowV,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,5,Typ,None,None,0.0,Y,WD ,76000,40,1638.0,1.5
RL,NAmes,Norm,6,CompShg,522.0,3,3,TA,Y,SBrkr,Gd,5,Typ,Attchd,Unf,400.0,Y,WD ,155000,55,1791.0,1.5
RL,Sawyer,Norm,6,CompShg,143.0,3,3,TA,Y,SBrkr,TA,7,Typ,Attchd,Fin,299.0,Y,WD ,158000,41,2015.0,1.5
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Detchd,RFn,480.0,Y,WD ,149500,6,1800.0,3.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,FuseA,TA,5,Typ,Attchd,Unf,240.0,Y,WD ,121000,52,1872.0,1.0
RL,NAmes,Norm,6,CompShg,0.0,3,3,TA,Y,FuseF,TA,6,Typ,Attchd,Fin,293.0,Y,WD ,136000,54,2080.0,1.5
RL,Gilbert,Norm,6,CompShg,0.0,3,4,Gd,Y,SBrkr,TA,7,Typ,Attchd,Fin,386.0,Y,WD ,173000,12,2552.0,2.5
RL,NoRidge,Norm,8,CompShg,348.0,4,4,Ex,Y,SBrkr,Gd,9,Typ,Attchd,Fin,671.0,Y,WD ,290000,11,3422.0,2.5
FV,Somerst,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Ex,11,Typ,BuiltIn,Fin,550.0,Y,New,303477,0,3794.0,2.5
RL,ClearCr,Norm,7,CompShg,0.0,4,4,Gd,Y,SBrkr,TA,4,Typ,Attchd,RFn,690.0,Y,WD ,270000,33,2903.0,2.5
RM,OldTown,Norm,5,CompShg,0.0,2,3,Gd,N,FuseA,Ex,6,Typ,Detchd,Unf,225.0,N,WD ,122250,88,2676.0,1.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,Gd,Y,FuseA,Gd,6,Typ,Attchd,Unf,350.0,Y,WD ,153000,54,2764.0,1.5
RL,Mitchel,Norm,5,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,6,Typ,None,None,0.0,Y,New,147000,0,2240.0,1.0
RL,Crawfor,Norm,7,CompShg,0.0,3,4,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,216.0,Y,WD ,148500,77,1629.0,2.0
RM,Edwards,Norm,7,CompShg,117.0,4,4,Ex,Y,SBrkr,Gd,7,Maj1,Detchd,Unf,380.0,Y,WD ,130000,2,2684.0,2.0
RL,NridgHt,Norm,9,CompShg,510.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,843.0,Y,WD ,372000,1,3604.0,2.5
RL,Blmngtn,Norm,7,CompShg,145.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,440.0,Y,WD ,213490,1,2868.0,2.0
RL,Edwards,Norm,7,CompShg,96.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,RFn,572.0,Y,Con,308030,1,3016.0,2.0
RL,Mitchel,Norm,7,CompShg,668.0,4,5,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Fin,786.0,Y,WD ,300000,12,3872.0,4.0
RL,NAmes,Norm,6,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,BuiltIn,Fin,539.0,Y,WD ,159500,47,1849.0,1.5
RM,Edwards,Norm,7,CompShg,50.0,4,4,Ex,Y,SBrkr,Gd,7,Maj1,Detchd,Unf,380.0,Y,WD ,137500,2,2679.0,2.0
RL,Somerst,Norm,7,CompShg,228.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,834.0,Y,WD ,232000,1,3232.0,2.0
RM,IDOTRR,Norm,6,CompShg,0.0,4,3,TA,Y,SBrkr,TA,4,Typ,Detchd,Unf,440.0,N,WD ,93850,78,1536.0,1.0
